datetime,open,high,low,close,volume
2025-12-22 09:30:00,1.56,1.56,1.56,1.56,43
2025-12-22 09:31:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:32:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:33:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:34:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:35:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:36:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:37:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:38:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:39:00,1.56,1.56,1.56,1.56,0
2025-12-22 09:40:00,1.59,1.59,1.59,1.59,3
2025-12-22 09:41:00,1.5841,1.5841,1.5841,1.5841,10
2025-12-22 09:42:00,1.585,1.585,1.585,1.585,5
2025-12-22 09:43:00,1.585,1.585,1.585,1.585,0
2025-12-22 09:44:00,1.585,1.585,1.585,1.585,0
2025-12-22 09:45:00,1.585,1.585,1.585,1.585,0
2025-12-22 09:46:00,1.5875,1.5875,1.5875,1.5875,5
2025-12-22 09:47:00,1.5875,1.5875,1.5875,1.5875,0
2025-12-22 09:48:00,1.5875,1.5875,1.5875,1.5875,0
2025-12-22 09:49:00,1.5875,1.5875,1.5875,1.5875,0
2025-12-22 09:50:00,1.5899,1.59,1.5899,1.59,8
2025-12-22 09:51:00,1.59,1.59,1.59,1.59,0
2025-12-22 09:52:00,1.59,1.59,1.59,1.59,0
2025-12-22 09:53:00,1.64,1.64,1.64,1.64,3
2025-12-22 09:54:00,1.64,1.64,1.64,1.64,0
2025-12-22 09:55:00,1.6,1.6,1.6,1.6,10
2025-12-22 09:56:00,1.6,1.6,1.6,1.6,0
2025-12-22 09:57:00,1.6,1.6,1.6,1.6,0
2025-12-22 09:58:00,1.6,1.6,1.6,1.6,0
2025-12-22 09:59:00,1.6,1.6,1.6,1.6,0
2025-12-22 10:00:00,1.6,1.6,1.6,1.6,0
2025-12-22 10:01:00,1.6,1.6,1.6,1.6,0
2025-12-22 10:02:00,1.65,1.65,1.65,1.65,10
2025-12-22 10:03:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:04:00,1.635,1.635,1.635,1.635,4
2025-12-22 10:05:00,1.635,1.635,1.635,1.635,0
2025-12-22 10:06:00,1.635,1.635,1.635,1.635,0
2025-12-22 10:07:00,1.6347,1.6347,1.6347,1.6347,2
2025-12-22 10:08:00,1.6347,1.6347,1.6347,1.6347,0
2025-12-22 10:09:00,1.6493,1.6493,1.64,1.64,6
2025-12-22 10:10:00,1.64,1.64,1.64,1.64,0
2025-12-22 10:11:00,1.65,1.65,1.65,1.65,1
2025-12-22 10:12:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:13:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:14:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:15:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:16:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:17:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:18:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:19:00,1.65,1.65,1.65,1.65,0
2025-12-22 10:20:00,1.63,1.63,1.63,1.63,1
2025-12-22 10:21:00,1.63,1.63,1.63,1.63,0
2025-12-22 10:22:00,1.63,1.63,1.63,1.63,0
2025-12-22 10:23:00,1.65,1.6853,1.65,1.6853,7
2025-12-22 10:24:00,1.694,1.694,1.694,1.694,1
2025-12-22 10:25:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:26:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:27:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:28:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:29:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:30:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:31:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:32:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:33:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:34:00,1.694,1.694,1.694,1.694,0
2025-12-22 10:35:00,1.72,1.72,1.72,1.72,1
2025-12-22 10:36:00,1.6976,1.6976,1.6976,1.6976,1
2025-12-22 10:37:00,1.6976,1.6976,1.6976,1.6976,0
