datetime,open,high,low,close,volume
2025-12-22 09:30:00,5.83,5.84,5.71,5.745,527
2025-12-22 09:31:00,5.73,5.83,5.72,5.82,63
2025-12-22 09:32:00,5.815,5.82,5.805,5.82,45
2025-12-22 09:33:00,5.84,5.87,5.815,5.85,377
2025-12-22 09:34:00,5.85,5.86,5.835,5.835,44
2025-12-22 09:35:00,5.845,5.895,5.845,5.895,58
2025-12-22 09:36:00,5.89,5.9,5.8801,5.895,315
2025-12-22 09:37:00,5.88,5.88,5.865,5.87,21
2025-12-22 09:38:00,5.87,5.89,5.87,5.885,79
2025-12-22 09:39:00,5.9,5.92,5.89,5.89,72
2025-12-22 09:40:00,5.9,5.91,5.9,5.9,22
2025-12-22 09:41:00,5.9,5.9,5.87,5.88,122
2025-12-22 09:42:00,5.88,5.89,5.8724,5.873,52
2025-12-22 09:43:00,5.885,5.91,5.885,5.91,24
2025-12-22 09:44:00,5.9075,5.92,5.9075,5.915,14
2025-12-22 09:45:00,5.9113,5.96,5.9,5.94,707
2025-12-22 09:46:00,5.945,5.95,5.915,5.92,48
2025-12-22 09:47:00,5.92,5.92,5.92,5.92,0
2025-12-22 09:48:00,5.925,5.9252,5.9,5.9,30
2025-12-22 09:49:00,5.9,5.91,5.9,5.91,15
2025-12-22 09:50:00,5.9,5.91,5.895,5.895,26
2025-12-22 09:51:00,5.895,5.9,5.895,5.9,3
2025-12-22 09:52:00,5.895,5.895,5.88,5.88,19
2025-12-22 09:53:00,5.88,5.88,5.87,5.87,3
2025-12-22 09:54:00,5.87,5.8898,5.87,5.8898,40
2025-12-22 09:55:00,5.88,5.895,5.88,5.895,29
2025-12-22 09:56:00,5.895,5.9,5.8899,5.8899,63
2025-12-22 09:57:00,5.885,5.885,5.878,5.878,12
2025-12-22 09:58:00,5.875,5.885,5.875,5.885,51
2025-12-22 09:59:00,5.885,5.91,5.885,5.91,120
2025-12-22 10:00:00,5.91,5.91,5.9,5.9,38
2025-12-22 10:01:00,5.9078,5.935,5.905,5.91,53
2025-12-22 10:02:00,5.905,5.93,5.9,5.92,57
2025-12-22 10:03:00,5.926,5.955,5.925,5.953,115
2025-12-22 10:04:00,5.95,5.95,5.935,5.935,31
2025-12-22 10:05:00,5.94,5.9555,5.94,5.9555,34
2025-12-22 10:06:00,5.95,5.95,5.93,5.935,24
